facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa
838010010;150;938;104;9900011000;851;290;1001100;10004;-46200.0
838010010;150;938;104;9900011000;851;291;1001100;10004;46200.0
838010010;150;938;113;9900090000;853;290;1001400;10004;-100.0
838010010;150;938;104;9900090000;853;296;1001400;10004;100.0
838010010;150;938;1101;9900060000;814;242;1001018;10252;-462000.0
838010010;150;938;1101;9900060000;814;242;1001018;10252;462000.0
843010010;147;943;503;9900020000;244;225;1002000;10004;-3.33
843010010;147;943;503;È200020000;244;225;1002000;10004;3.33
114010010;146;914;1006;9900020000;244;225;1001200;10004;46876.68
114010010;146;914;1006;9900020000;244;225;1001200;10004;72023.32
114010010;146;914;1006;9900020000;244;226;1001200;10004;-118900.0
114010010;146;914;707;9900060000;621;241;1001000;10176;670000.0
114010010;146;914;707;9900060000;621;241;1001000;10178;123300.0
114010010;146;914;1002;5400060000;611;241;1001048;10176;78400.0
114010010;146;914;1002;5400060000;611;241;1001048;10178;23700.0
114010210;146;914;1002;5400080000;313;262;1002001;10285;-3157000.0
114010210;146;914;1003;99000S3230;313;262;1002000;10020;3157000.0
115010010;146;915;412;2700020000;244;226;1002000;10148;500000.0
115010010;146;915;412;2700020000;244;226;1002000;10149;550000.0
115010010;146;915;412;2700020000;244;226;1002000;10152;4500000.0
115010010;146;915;412;2700020000;244;226;1002000;10154;4450000.0
115010010;146;915;502;0400060000;814;241;1002000;10018;-126400.0
115010010;146;915;1003;0400020000;244;226;1002000;10012;126400.0
110010010;146;910;605;6400020000;244;225;1002000;10270;-54771.28
110010010;146;910;605;6400020000;244;225;1002000;10998;54771.28
840010010;152;940;113;9900060000;611;241;1001400;10179;20000.0
840010010;152;940;113;9900060000;611;241;1001400;10191;-20000.0
840010010;152;940;409;Æ300020000;244;225;1002000;10004;0.0
840010010;152;940;409;9900020000;244;225;1002000;10004;0.0
840010010;152;940;409;Æ300020000;244;225;1002000;10004;0.0
837010010;149;937;503;À3000L5550;244;225;1002000;10004;3.33
837010010;149;937;503;À3000L5550;244;225;1002000;10004;-3.33
839010010;151;939;503;Ä3000R5550;244;226;2002000;10004;-660384.11
839010010;151;939;503;Ä3000L5550;244;226;1002000;10004;-200000.0
114010010;146;914;1006;20000S3080;244;225;1001400;10002;508100.0
114010010;146;914;1006;9900020000;244;226;1001400;10004;65000.0
106010270;146;906;709;4580012000;244;340;1001302;10004;-44140.8
106010270;146;906;709;4580012000;244;340;1001302;10998;44140.8
117010010;146;917;412;9900020000;244;226;1002000;10004;-1676.4
117010010;146;917;412;9900020000;244;226;1002000;10998;1676.4
117010010;146;917;412;9900020000;244;226;1002000;10004;-2328.48
117010010;146;917;412;9900020000;244;226;1002000;10998;2328.48
134010030;146;934;113;9900012000;244;226;1001311;10004;-69162.77
134010030;146;934;113;9900012000;244;226;1001311;10004;69162.77
134010030;146;934;113;9900012000;244;290;1001311;10004;-52000.0
134010030;146;934;113;9900012000;244;290;1001311;10004;52000.0
134010030;146;934;113;20000S3080;243;225;1001311;10001;-32000.0
134010030;146;934;113;20000S3080;243;226;1001311;10004;32000.0
134010030;146;934;113;9900073080;243;225;2001313;10001;-128000.0
134010030;146;934;113;9900073080;243;226;2001313;10004;128000.0
839010010;151;939;113;9900060000;611;241;1001400;10181;44400.0
839010010;151;939;113;9900060000;611;241;1001400;10181;-44400.0
839010010;151;939;113;9900060000;611;241;1001400;10183;564600.0
839010010;151;939;113;9900060000;611;241;1001400;10183;-564600.0
839010010;151;939;113;9900060000;611;241;1001400;10187;72000.0
839010010;151;939;113;9900060000;611;241;1001400;10187;-72000.0
839010010;151;939;113;9900060000;611;241;1001400;10189;76000.0
106010010;146;906;702;4520060000;611;241;1001000;10180;55390.0
106010010;146;906;702;4520060000;611;241;1001000;10181;-55390.0
106010010;146;906;702;4520060000;621;241;1001000;10181;-120099.84
106010010;146;906;702;4520060000;621;241;1001000;10183;14099.84
106010010;146;906;702;4520060000;621;241;1001000;10186;46000.0
106010010;146;906;702;4520060000;621;241;1001000;10191;60000.0
106010010;146;906;702;9900075030;612;241;2001058;10179;-3175.12
106010010;146;906;702;9900075030;612;241;2001058;10186;3175.12
106010010;146;906;709;4550060000;621;241;1001000;10181;-268000.0
106010010;146;906;709;4550060000;621;241;1001000;10188;268000.0
103010010;146;903;804;6900060000;621;241;1001000;10180;800000.0
103010010;146;903;804;6900060000;621;241;1001000;10182;400000.0
103010010;146;903;804;6900060000;621;241;1001000;10183;38200.0
103010010;146;903;804;6900060000;621;241;1001000;10186;2542898.4
103010010;146;903;804;6900060000;621;241;1001000;10191;2200000.0
103010010;146;903;804;6900060000;621;241;1001000;10190;-5981098.4
103010010;146;903;707;3500060000;621;241;1001000;10191;-248500.0
103010010;146;903;707;3500060000;621;241;1001000;10180;141000.0
103010010;146;903;707;3500060000;621;241;1001000;10188;107500.0
839010010;151;939;113;9900060000;611;241;1001400;10189;-76000.0
839010010;151;939;113;9900060000;611;241;1001400;10190;420000.0
839010010;151;939;113;9900060000;611;241;1001400;10190;-420000.0
